Tên Công Việc,Tên Công Ty,Lương,Địa Điểm,Hình Ảnh
Nhân Viên Telesales/ Tư Vấn Khoá Học Online (Thu Nhập Tối Thiểu 20 Triệu/ Tháng),CÔNG TY TNHH ĐÀO TẠO ENGLISH AMOM,Trên 10 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/0iQq9gvPJ6gQlvvnwnBrccedWSOib6jr_1689318769____111335fdd5e131c0fbebd7681984d177.png
Bridge System Engineer (BrSE - Tiếng Nhật N2),CÔNG TY TRÁCH NHIỆM HỮU HẠN THK HOLDINGS VIỆT NAM,Thoả thuận,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-trach-nhiem-huu-han-thk-holdings-viet-nam-a65478710201a0c5c3b2ca41577e6f7d-66b573941e2ca.jpg
Nhân Viên Kinh Doanh - Không Áp Doanh Số - Mức Lương Cứng 10-20 Triệu,CÔNG TY TNHH PHỒN THỊNH - TAE GWANG,10 - 20 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-phon-thinh-tae-gwang-f3936255e960ac3a7c54bc4ac5872dda-645c831a9c071.jpg
Chuyên Viên Kinh Doanh/ Sale Online/ Tư Vấn - Tại Hà Nội - Thu Nhập 15-30 Triệu,CÔNG TY TNHH HATUMA,15 - 30 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/0ajLAGiTrv2GETmIIbnrlPHjSV348x3M_1716195310____010f87dfb55f465602732d30040fea12.jpg
Kế Toán Tổng Hợp (16 - 18 Triệu),Công ty cổ phần đầu tư quản lý Vũ Gia,16 - 18 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/kQwgaK0BQoplntKffcqSJSeWArcjuTTW_1680237115____1e295c40209a72c470d6d45c8027aaed.png
"GẤP
Cán Bộ Duy Tu Chiếu Sáng (Mảng Điện Chiếu Sáng/ Điện) - Không Yêu Cầu Kinh Nghiệm - Thu Nhập Hấp Dẫn",CÔNG TY CỔ PHẦN ĐIỆN CHIẾU SÁNG VÀ THIẾT BỊ ĐÔ THỊ HỒ GƯƠM,10 - 12 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-dien-chieu-sang-va-thiet-bi-do-thi-ho-guom-347c390a3c11aab2f4c5959b352c687b-647700899593b.jpg
"GẤP
Bác Sĩ Nha Khoa Tấm Dentist Tại Hồ Chí Minh & Hà Nội",CÔNG TY TNHH Y KHOA QUỐC TẾ LINA,70 - 130 triệu,"Hồ Chí Minh, Hà Nội",https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-y-khoa-quoc-te-lina-10b5d25c96cb83af9749f683211a8e80-654c3da4a05b4.jpg
Nhân Viên SEO Specialist Tại Quận 6 - TP.HCM,CÔNG TY TNHH NỘI THẤT HITA,10 - 15 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/253jboTUk5l7m1YPEAFFH7rXpI3KZ4Tg_1688367646____3edf9e60fe1f216c905aec85c581f66a.jpg
"GẤP
Leader Phụ Trách Mảng Youtube - 1 Năm Kinh Nghiệm SEO Youtube - Thu Nhập Upto 40tr/Tháng",CÔNG TY CỔ PHẦN SOCY MEDIA,12 - 20 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-dich-vu-socy-media-dd323416859a9870a12c260ead1bc04b-660a12371b085.jpg
Cloud Engineer,Công Ty TNHH LG CNS VIỆT NAM,Thoả thuận,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/TookgFfkXGVGSlPM3ZImR07Uz4UDNz5U_1681297674____f10a3ab84434a4d2e12e0e24b30090ba.png
